Agency,Recipient,Description,Date,SAVED
USAID,CRS - USCCB,TO PROVIDE VITAL MULTISECTORAL ASSISTANCE FOR CONFLICT-AFFECTED POPULA...,3/10/2025,0.0
USAID,"INTERNATIONAL RESCUE COMMITTEE, INC.",THIS TWO YEAR AWARD WILL ALLOW IRC MALI TO IMPLEMENT A MULTISECTORAL E...,3/10/2025,0.0
USAID,NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN,SAFETY AND DIGNITY FOR PEOPLE AFFECTED BY THE HUMANITARIAN CRISES IN V...,3/10/2025,0.0
USAID,"HEARTLAND ALLIANCE INTERNATIONAL, LLC",18 MONTH AWARD THAT WILL IMPROVE IDP'S ACCESS TO MULTI-SECTORAL SERVIC...,3/10/2025,0.0
USAID,THE ALLIANCE FOR INTERNATIONAL MEDICAL ACTION,NEW AWARD IN CAMEROON FOR NUTRITION AND HEALTH SECTOR ACTIVITIES,3/10/2025,0.0
USAID,"INTERNATIONAL RESCUE COMMITTEE, INC.",THIS AWARD WILL PROVIDE FINANCIAL SUPPORT TO IRC FOR A PROGRAM ENTITLE...,3/10/2025,0.0
USAID,CRS - USCCB,"FOR A NEW AWARD IN SHELTER AND SETTLEMENTS, WATER, SANITATION AND HYGI...",3/10/2025,0.0
USAID,MERCY CORPS,"NEW 12-MONTH AWARD FOR AGRICULTURE, ERMS, AND PROTECTION ACTIVITIES IN...",3/10/2025,0.0
USAID,CRS - USCCB,"NEW IDA AWARD OF $2,200,000 FOR FOOD ASSISTANCE, ERMS, AND SHELTER AND...",3/10/2025,0.0
USAID,CRS - USCCB,RECIPIENT WILL IMPLEMENT KOMINOTÉ ANGAJE POU CHANJMAN (KACH),3/10/2025,0.0
USAID,HIAS INC,"A NEW 24 MONTH AWARD FOR EMERGENCY PROTECTION, HEALTH, AND WASH ACTIVI...",3/10/2025,0.0
USAID,COOPI,THE GOAL OF THIS PROGRAM IS TO PROVIDE HUMANITARIAN ASSISTANCE TO CRIS...,3/10/2025,0.0
USAID,THE ALLIANCE FOR INTERNATIONAL MEDICAL ACTION,"NEW ALIMA AWARD FOR HEALTH, NUTRITION, AND PROTECTION SECTORS IN CHAD ...",3/10/2025,0.0
USAID,"INTERNATIONAL RESCUE COMMITTEE, INC.",NEW IDA AWARD TO SUPPORT IRC CAMEROON - INTEGRATED BASIC NEEDS AND PRO...,3/10/2025,0.0
USAID,ASSOCIATION MALIENNE POUR LA SURVIE AU SAHEL (A.M.S.S),THE PROGRAM GOAL IS TO CONTRIBUTE TO STRENGTHENING A PROTECTIVE ENVIRO...,3/10/2025,0.0
USAID,CRS - USCCB,MYANMAR YAGI EMERGENCY RESPONSE (MYER),3/10/2025,0.0
USAID,UNICEF,WITH USAID SUPPORT UNICEF WILL TARGET NES RETURNEE CHILDREN AND THEIR ...,3/10/2025,0.0
USAID,FEDERATION INTERNATIONALE DES SOCIETES DE LA CROIX-ROUGE ET DU CROISSANT ROUGE,No description available,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,HUMANITARIAN EMERGENCY RESPONSE TO THE AFFECTED POPULATIONS OF THE FLO...,3/10/2025,0.0
USAID,UNICEF,THE PURPOSE OF THIS ACTION IS TO APPROVE THE FY22 IDA CONTRIBUTION OF ...,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,"NEW 24-MONTH AWARD TO SUPPORT HCIMA, S&S, AND ERMS IN IDP AND RETURNEE...",3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,MULTI-SECTOR RAPID RESPONSE FUND TO SUPPORT POPULATIONS AFFECTED BY SU...,3/10/2025,0.0
USAID,UNFPA,AN ASSISTANCE AWARD TO SAVE LIVES AND ALLEVIATE SUFFERING IN CRISIS AF...,3/10/2025,0.0
USAID,UNICEF,AN ASSISTANCE AWARD TO PROVIDE FINANCIAL SUPPORT TO UNICEF FOR A PROGR...,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,THIS AWARD SUPPORTS IMPROVING ACCESS TO SAFE WATER SUPPLY FOR VULNERAB...,3/10/2025,0.0
USAID,UNFPA,"THIS AWARD WILL ALLOW UNFPA TO CONTINUE HEALTH, PROTECTION, AND MPCA P...",3/10/2025,0.0
USAID,UNFPA,"TO ALLOCATE FY24 IDA RESOURCES TO UNFPA CHAD FOR HEALTH, HCIMA AND PRO...",3/10/2025,0.0
USAID,UNITED NATIONS,12-MONTH IDA AWARD TO UNMAS FOR PROTECTION SECTOR IN MALI,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,TO PROVIDE SHELTER NFIS AND SHELTER TECHNICAL SUPPORT IN GAZA,3/10/2025,0.0
USAID,UNICEF,THE PURPOSE OF THIS AWARD IS TO PROVIDE FINANCIAL SUPPORT TO UNICEF FO...,3/10/2025,0.0
USAID,UNFPA,"FY24 $2,500,000 IDA FUNDED AWARD TO UNITED NATIONS POPULATION FUND (UN...",3/10/2025,0.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,"NEW IDA AWARD TO RESTORE AGRICULTURAL PRODUCTION, SUPPORT PRODUCTION O...",3/10/2025,0.0
USAID,UNICEF,ADDRESSING THE MULTI-SECTORAL NEEDS OF VIOLENCE-AFFECTED POPULATIONS I...,3/10/2025,0.0
USAID,UNICEF,TO PROVIDE FINANCIAL SUPPORT TO UNICEF FOR A NEW PROTECTION PROGRAM IN...,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,TO PROVIDE INTEGRATED MULTI-SECTORAL ASSISTANCE TO VULNERABLE DISPLACE...,3/10/2025,0.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,"TO SUPPORT THE PROVISION OF EMERGENCY CASH, LIVELIHOOD, DISASTER REDUC...",3/10/2025,0.0
USAID,UNICEF,NEW IDA-FUNDED AWARD TO UNICEF TO SUPPORT SUDANESE REFUGEES IN EASTERN...,3/10/2025,0.0
USAID,UNICEF,"NEW AWARD TO SUPPORT NUTRITION, WASH AND PROTECTION SECTORS IN NE NIGE...",3/10/2025,0.0
USAID,UNFPA,AWARD TO ENABLE MULTI-SECTORAL ASSISTANCE FOR SURVIVORS OF GBV AND WOM...,3/10/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,THIS AWARD IS FOR A 24-MONTH PROJECT TO STRENGTHEN THE COOPERATION OF ...,3/10/2025,0.0
USAID,UNICEF,EMERGENCY CHILD PROTECTION AND NUTRITION RESPONSE IN THE NW AND SW INC...,3/10/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,GWSP WILL SUPPORT USAID IN ADDRESSING PERSISTENT SECTOR CHALLENGES THR...,3/10/2025,0.0
USAID,INTERNATIONAL FINANCE CORPORATION,TO CONTRIBUTE MEMBERSHIP DUES TO THE DONOR COMMITTEE FOR ENTERPRISE DE...,3/10/2025,0.0
USAID,TRUSTEE OF TUFTS COLLEGE,EXCLUSIVE BREASTFEEDING IS RANKED AS THE NUMBER ONE PREVENTATIVE CHILD...,3/10/2025,0.0
DEPARTMENT OF EDUCATION,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,FULBRIGHT-HAYS DOCTORAL DISSERTATION RESEARCH ABROAD,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,COLUMBIA UNIVERSITY HEALTH SCIENCES,No description available,3/10/2025,0.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,SUPPORT FOR ELECTIONS AND POLITICAL PROCESSES IN BENIN TO COUNTER DEMO...,2/11/2025,0.0
USAID,"CDA COLLABORATIVE LEARNING PROJECTS, INC",THE GOALS OF THESE FOUR-YEAR R&D ACTIVITIES ARE TO APPLY FINDINGS FROM...,2/6/2025,0.0
USAID,FLORIDA STATE UNIVERSITY,TRANSFORMING TEACHER EDUCATION IN ZAMBIA,3/1/2025,0.0
USAID,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,ALIWILII II : TO ACHIEVE A PEACEFUL AND INCLUSIVE ENVIRONMENT THAT FAC...,3/1/2025,0.0
USAID,Fundación Carvajal,THE PURPOSE OF THIS GDA ACTIVITY TO IMPLEMENT THE BUENAVENTURA ACTIVE ...,3/1/2025,0.0
USAID,INDIAN GRAMEEN SERVICES,THE PURPOSE OF “DONORS AND LOCALLY LED DEVELOPMENT: TRANSFORMING RELAT...,3/1/2025,0.0
USAID,INNOVATIONS FOR POVERTY ACTION A NONPROFIT CORP,SOCIAL INCENTIVES FOR CHILDHOOD IMMUNIZATION,3/1/2025,0.0
USAID,FONDACIJA ALBIZ S.SARAJ SKOPJE,ALBIZ FOUNDATION ASSISTANCE AWARD,3/1/2025,0.0
USAID,KONSALTING ZA STRATESKI RAZVOJ D.O.O.,BUSINESS SUPPORT ORGANIZATIONS CHAMPIONS ACTIVITY AIMS TO PROVIDE ASSI...,3/1/2025,0.0
USAID,NACOM,ECOSYSTEM CONSERVATION THROUGH LIVELIHOOD IMPROVEMENT AND FOREST ENHAN...,3/1/2025,0.0
USAID,"FOUNDATION FOR RURAL ENTERPRISE & ECOLOGY DEVELOPMENT OF MINDANAO (FREEDOM), INC.",GREENING AGRI-FOOD VALUE CHAINS THROUGH CARBON-BASED INPUTS FOR AGRICU...,3/1/2025,0.0
USAID,KENNEMER FOODS INTERNATIONAL INC.,TRANSFORM PROJECT -KENNEMER,3/1/2025,0.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,THE COMMUNITY STABILIZATION ACTIVITY RESPONDS TO THE NEED TO PROVIDE T...,3/1/2025,0.0
USAID,IMPAQTO - ECUADOR CIA LTDA,THE PURPOSE OF THIS ACTIVITY IS BUILDING A MORE INCLUSIVE ECOSYSTEM WI...,3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,PROVIDE SUPPORT FOR A PROGRAM IN TERTIARY PREVENTION,3/1/2025,0.0
USAID,ATWAAMBE INITIATIVE,THE PURPOSE LOCAL CLIMATE ACTION INNOVATION ENHANCING AGROFORESTRY ACT...,3/1/2025,0.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,No description available,3/1/2025,0.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,TO SUPPORT THE MADAGASCAR CUSTOMS TO REDUCE THE CLEARANCE TIME FOR IMP...,3/1/2025,0.0
USAID,CNFA,2023 NEW CNFA/INLAND,3/1/2025,0.0
USAID,"SAVE THE CHILDREN FEDERATION, INC.",OVERSEAS FREIGHT - TITLE II DONATIONS,3/1/2025,0.0
USAID,ADVENTIST DEVELOPMENT AND RELIEF AGENCY INTERNATIONAL,2023 NEW ADRA OCEAN AWARD,3/1/2025,0.0
USAID,"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$458,486.60 COMMODITIES AND CONSTRUCTION AWARD.",3/1/2025,0.0
USAID,CURE INTERNATIONAL INC,"$928,678.85 CONSTRUCTION AND COMMODITIES AWARD.",3/1/2025,0.0
USAID,LANKA RAIN WATER HARVESTING FORUM,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,No description available,3/1/2025,0.0
USAID,MERCY CORPS,No description available,3/1/2025,0.0
USAID,INTERNATIONAL BANK FOR RECONSTRUCTION AND DEVELOPMENT,43063_EGEE/TRR DOING BUSINESS PROJECT II - WORLD BANK/IFC,2/13/2025,0.0
HOUSING AND URBAN DEVELOPMENT,Corporation for Supportive Housing,HOMELESS MANAGEMENT INFORMATION SYSTEMS TECHNICAL ASSISTANCE,2/26/2025,0.0
HOUSING AND URBAN DEVELOPMENT,Local Initiatives Support Corp,COMMUNITY COMPASS TECHNICAL ASSISTANCE AND CAPACITY BUILDING,2/26/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF SAN FRANCISCO,No description available,3/23/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF ROCHESTER,No description available,3/23/2025,0.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HANOI MEDICAL UNIVERSITY,No description available,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Town of New Boston,NEW FIRE STATION CONSTRUCTION PROJECT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of California, San Diego, United States",(MURI-20)UNRAVELING THE MECHANISMS OF ICE NUCLEATION AND ANTI-ICING TH...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Research Foundation for the State University of New York,UNIVERSITY-NAVY RESEARCH ON ENERGY RESILIENCE,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Launch: AlaskA,TECHNOLOGY AND INNOVATION DEVELOPMENT IN ALASKA,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Hawaii System, United States",LAYING THE GROUNDWORK FOR WATER SECURITY PREPAREDNESS AND RESILIENCE I...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Monmouth university,DEVELOPMENT OF A COASTAL ADAPTATION MONITORING AND MODELING SYSTEM FOR...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Governemnt of Guam,OFFICE OF THE GOVERNOR PROFESSIONAL ADVISORY SERVICES,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Michigan–Ann Arbor, United States","(MINERVA) CLIMATE CHANGE, DEMOGRAPHIC SHIFTS, AND SOCIO-POLITICAL STAB...",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Florida, United States",(MINERVA) SOCIAL AND INSTITUTIONAL DETERMINANTS OF VULNERABILITY AND R...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,The University of PITTSBURGH,MCDR 2023: COUPLING DESALINATION WITH NOVEL MCDR MEMBRANES,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"INFINITUM HUMANITARIAN SYSTEMS, INC.",COMPLEX VULNERABILITY RESEARCH WITHIN AN URBAN SETTING ON THE PACIFIC ...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"INFINITUM HUMANITARIAN SYSTEMS, INC.","OCEANIA HUMAN SECURITY LABORATORY RESEARCH EXPANSION ON EBEYE ISLAND, ...",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Purdue University West Lafayette, United States","BIP SUMMER INSTITUTE AND CONFERENCE FOR CLIMATE CHANGE, COASTAL RESILI...",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of California, Santa Cruz, United States",TARGETED MANAGEMENT APPROACHES FOR MINIMIZING NAVY ACTIVITY IMPACTS ON...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Woods Hole Oceanographic Institution, United States",IMPACT OF THE BEAUFORT LENS ON THE BOWHEAD WHALES ACOUSTIC COMMUNICATI...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,North Carolina Agricultural and Technical State University,TRUSTWORTHY CYBER PHYSICAL DEFENSE SYSTEMS VIA AI AND SHARED AUTONOMY,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Oklahoma State University,NATIONAL DEFENSE EDUCATION PROGRAM - BUILDING A STEM EDUCATION ECOSYST...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Delaware State University, United States",DELAWARE STATE UNIVERSITY NAVY FLIGHT ACADEMY,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Hoke County Schools,THE PRIMARY OBJECTIVE OF THE EXPLORATION OF ENGINEERING THROUGH HEALTH...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Carnegie Mellon University, United States",THE NEURAL BASIS OF SPATIAL LEARNING AND GENERALIZATION FROM EDUCATION...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Groton Board of Education,MILITARY-CONNECTED LOCAL EDUCATION AGENCIES FOR ACADEMIC AND SUPPORT P...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Groton Board of Education,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Ocean Exploration Trust, United States",BROADENING PARTICIPATION IN STEM THROUGH OCEAN EXPLORATION IN THE PACI...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Widefield School District 3,STEM COLLABORATORIES: A KEYSTONE TO EQUITY IN STEM OPPORTUNITIES,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of California, Irvine",ENHANCING POSTDOCTORAL TRAINING IN DOD PHOTONICS RESEARCH FOR UNDER-RE...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"The University of Texas at Arlington, United States",NEW START GRANT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Virginia Commonwealth University, United States",NEW START GRANT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Orlando Science Center, United States",STEM: NEIGHBORHOOD SCIENCE: NAVAL STEM ADVENTURES,3/23/2025,0.0
DEPARTMENT OF DEFENSE,University City Science Center,FUTURE UNIFORM TECHNOLOGIES UTILIZING REAL-WORLD EXPERIENCES (FUTURE),3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Consortium for Ocean Leadership, United States",LONGSTANDING OCEAN STEM HIGH SCHOOL COMPETITION TO INCREASE DIVERSITY ...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Elizabeth City State University, United States",ELIZABETH CITY STATE UNIVERSITY NAVY FLIGHT ACADEMY,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"New Jearsey Manufacturing Extension Program, Inc.",NEW JERSEY DEFENSE MANUFACTURING COMMUNITY CONSORTIUM,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Camden County Board of Education,PROJECT OBJECTIVES OUR WORLD LANGUAGE WL PROGRAM PASSPORT PROFICIENCY ...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Texas Southern University,(NSP) CENTER FOR SCIENTIFIC MACHINE LEARNING FOR MATERIAL SCIENCES.,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Florida Institute for Human and Machine Cognition,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Hawaii State Department of Education, United States",WORLD LANGUAGE ADVANCEMENT READINESS PROGRAM (WLARP),3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of the Sunshine Coast, Australia",UNDERSTANDING AND PREVENTING DYSFUNCTIONAL BEHAVIOR: A SYSTEMS THINKIN...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Bellevue Public Schools,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Hawaii System, United States",RISE-UP: RESILIENT INNOVATIVE SUSTAINABLE ECONOMIES VIA UNIVERSITY PAR...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Harvard University, United States",NATIONAL DEFENSE EDUCATION PROGRAM - BUILDING A STRONGER STEM FOUNDATI...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Hawaii State Department of Education, United States",MILITARY-CONNECTED LOCAL EDUCATION AGENCIES FOR ACADEMIC AND SUPPORT P...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,International Leadership of Texas,THE CHINESE ADVANCED LANGUAGE (CAL) PROJECT WILL PROVIDE ILTEXAS CHINE...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Widefield School District 3,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Hillsborough County Public Schools, United States",THE PROJECT OBJECTIVES ARE TO INCREASE THE NUMBER OF SPANISH LANGUAGE ...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Altus Public Schools,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Portsmith City School Board,WORLD LANGUAGE ADVANCEMENT AND READINESS PROGRAM (WLARP),3/23/2025,0.0
DEPARTMENT OF DEFENSE,Pemberton Township Board of Education,WORLD LANGUAGE ADVANCEMENT READINESS PROGRAM (WLARP),3/23/2025,0.0
DEPARTMENT OF DEFENSE,Arizona State University,NATIONAL DEFENSE EDUCATION PROGRAM - A ZERO-COST ONLINE BIOTECHNOLOGY ...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,San Diego Unified School Distrct,MILITARY-CONNECTED LOCAL EDUCATIONAL AGENCIES FOR ACADEMIC AND SUPPORT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Enterprise Board of Education,FY23 WORLD LANGUAGE ADVANCEMENT AND READINESS PROGRAM (WLARP),3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Howard University, United States",HCAI@HU: BUILDING RESEARCH CAPACITY AND FUTURE ONR/DOD WORKFORCE SKILL...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Johns Hopkins University, United States",MODULAR REPRESENTATIONS FOR VISION AND LANGUAGE,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Washington University in St. Louis, United States",FOUNDATIONS OF GEOMETRIC AND DATA-DRIVEN ENSEMBLE CONTROL,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Michigan State University, United States",THE MEDITERRANEAN AND BLACK SEA FLYWAY TRANSBOUNDARY DETERMINANTS OF A...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Northern Arizonia University,"BIOSURVEILLANCE OF BRUCELLOSIS IN AZERBAIJAN, GEORGIA, AND TURKEY",3/23/2025,0.0
DEPARTMENT OF DEFENSE,Mascoutah Community Unit School District 19,THE PROJECT ABSTRACT MUST NOT EXCEED ONE PAGE AND MUST CONTAIN A SUMMA...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Colorado State University System, United States",CHARACTERIZATION OF MOLECULAR SPECIES IN A HELICON SOURCE REPRESENTATI...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Miami, United States",CLASI: THE COASTAL LAND AIR-SEA INTERACTION EXPERIMENT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Stanford University, United States",COMPLEX EXPERIMENTS FOR A COMPLEX WORLD,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"The Ohio State University, United States",YIP U.S. INFLUENCE IN THE WESTERN PACIFIC: LEGACY OF HISTORICAL AIRSTR...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,Morgan State University,RESEARCH AND EDUCATION IN EQUITABLE AI AND MACHINE LEARNING: CYBERSECU...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Arkansas at Little Rock, United States",NEW GRANT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Michigan–Ann Arbor, United States",(FY22 MURI) UNDERSTANDING SOCIAL NETWORK-TRANSCENDENT ONLINE/OFFLINE B...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Cornell University, United States",COMPETITION AND COLLABORATION IN COMPLEX NETWORKS,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of North Carolina at Charlotte, United States",SHOCKS AND SOCIAL PREFERENCES,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Carnegie Mellon University, United States",COMMUNITY ASSESSMENT,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Pittsburgh, United States",A NETWORK THEORY OF CREDENCE,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of California, San Diego, United States","""DISTRIBUTED FAKE NEWS DETECTION"".",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"California State University, Northridge, United States",NETWORK SCIENCE: MODELING AND DATA ANALYSIS OF THE DRIVERS OF DISCONTE...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Creighton University, United States","(DEPSCOR-RESEARCH COLLABORATION-FY21) ""BUILDING A COMPUTATIONAL MODEL ...",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Augusta University, United States",A SOCIO-POLITICAL ANALYSIS OF ARABIC SOCIAL MEDIA ATTACKS USING COMPUT...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Michigan State University, United States",PRIVACY-PRESERVING AND ROBUST FEDERATED LEARNING,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Massachusetts System, United States",(YIP) UNDERSTANDING INFLUENCE USING PERSONALITY-DRIVEN PROFILES AND PR...,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of California, San Diego, United States",SENSE-MAKING TRAINING FOR INFORMATION ANALYSTS,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Korea Advanced Institute of Science and Technology, South Korea",REDESIGNING ONLINE DISCUSSIONS FOR INFORMED DISCOURSE AT SCALE,3/23/2025,0.0
DEPARTMENT OF DEFENSE,"University of Palermo, Italy","R&D, SCIENCE AND ENGINEERING, IN THE AREA OF SOCIAL ASPECTS",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Kanto Gakuin University, Japan","BASIC RESEARCH FOR AOARD PROPOSAL 23IOA065 ""INVESTIGATING EMOTIONAL AI...",3/23/2025,0.0
DEPARTMENT OF DEFENSE,"Carnegie Mellon University, United States",THREAT ASSESSMENT TECHNIQUES FOR DIGITAL DATA,3/23/2025,0.0
