Agency,Recipient,Description,Date,SAVED
INTERNATIONAL ASSISTANCE PROGRAMS,Instituto Fazer Acontecer,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASSOCIAÇÃO INDIGENA ABANATSA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro Cultural Kàjre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação do Povo Indígena Amondawa,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Comunitária do Amarelão,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Indígena Myky Waypjatápja Mananukje?y,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Instituto Asas e Raízes Pitaguary,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Indígena Tapayuna,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASSOCIAÇÃO INDÍGENA FWLATATHA FUNI-Ô,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coletivo de Agricultores e Agricultoras Familiares Indígenas Xakriabá,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Conselho Indígena Tremembé de Queimadas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Paraibana dos Produtores de Mel da Baía da Traição,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Associação Redes de Desenvolvimento da Maré,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fond St Jacques Development Committee,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Capítulo Chileno de Transparencia Internacional,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ONG Comité para la Democratización de la Informática,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES INDIGENAS Y CAMPESINOS DE RIOSUCIO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Grupo Semillas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Unión Temporal Construyendo Esperanza,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACIÓN ANDARES IDA Y VUELTA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES DEL MEDIO ATRATO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION AMBIENTAL DAPAVIVA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundacion Centro de Investigación y Educacion Popular,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACIÓN ETNOLLANO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION PARA EL DESARROLLO CAMPESINO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Taller Prodesal Promoción Popular y de alternativas al desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CORPORACION INSTITUTO INTERNACIONAL SOBRE RAZA IGUALDAD Y DERECHOS HUMANOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Corporación Buen Ambiente,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Centro de Derechos Sociales del Inmigrante,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Fondo de Promoción y apoyo Social Comunitario Guanacaste,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Mar a Mar Costa Rica,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,GUAKIA AMBIENTE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Cacaocultores los Innovadores de Vuelta Larga,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Federación de Caficultores y Agricultores para el Desarrollo de San Juan, Inc..",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fideicomiso Ecuatoriano de Cooperacion para el Desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PARA EL DESARROLLO SOCIOECONOMICO Y RESTAURACION AMBIENTAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ACOPROERICK de R.L.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Federación de asociaciones cooperativas pesqueras artesanales de El Salvador,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociacion Cooperativa de Produccion Artesanal, aprovisionamiento, comercialización ahorro y credito, La Red Unión de Mujeres de Responsabilidad Limitada",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro Cultural y De Las Artes Monseñor Oscar Arnulfo Romero,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ASOCIACION DE PRODUCTORES AGROECOLOGICOS Y ORGANICOS DE LA SIERRA TECAPA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación El Bálsamo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Agencia de Desarrollo Económico Local,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION PARA EL DESARROLLO SOCIOECONOMICO Y RESTAURACION AMBIENTAL,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Red de Sobrevivientes y Personas con Discapacidad,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Centro de Estudios de la Diversidad Sexual y Generica,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Cooperativa de Produccion Agropecuaria de Usulutan de Responsabilidad Limitada,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACION SANTA TERESA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,PERKIN EDUCATIONAL OPPORTUNITIES FOUNDATION INC,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Desarrollo Económico Local de Morazán,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Grupo de Acción Territorial de la cuenca Bahía de Jiquilisco,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Mujeres Adelina Caal Maquin del Municipio de Fray Bartolomé de Las Casas.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Dirigentes Comunitarios,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Forestería Comunitaria de Guatemala Utz Che´,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Sobrevivencia Cultural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Civil de Pequeños y Medianos Agricultores del Kape,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Union de Pequeños Caficultores UPC,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Centro Internacional para Investigaciones en Derechos Humanos ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Mujeres Río Isquizal del Municipio de San Sebastián Huehuetenango,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Regional Campesina Chorti,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Educacional para el Desarrollo Integral de los Movimientos Comuntarios ENTRE MUNDOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organización para el desarrollo integral de Guatemala Sembrando Esperanza ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ORGANIZACION NO GUBERNAMENTAL NA'LEB'AK ONG,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOPERATIVA INTEGRAL DE PRODUCCION PUEBLO UNIDO RESPONSABILIDAD LIMITADA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Consejos de Guías Espirituales Releb´aal Saq´e,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Organizaciones de Los Cuchumatanes,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Asociacion de Asentamientos Unidos del Area Ixil, Nebaj Quiché",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Vivamos Mejor,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Lambda,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fanm Deside,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Organisation des paysans de Labiche,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coopérative Espoir pour Demain,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Union des Paysans Tet Kole de Mahotiere,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,UNITE DE LUTTE POUR LA SANTE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Association pour le Developpement des Paysans de Mecette,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Koperativ konsomasyon atizanal bi miltip,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Òganizasyon Pou devlopman pak,orange de leyogàn",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Action des Cadres pour l'Acompagnement et l'Integration des Organisations au Developpement Rural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Comunitaria Puca,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación para el Manejo Integrado de Cuencas de la Paz y Comayagua,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Centro de Desarrollo Empresarial de la Micro, Pequeña, y Mediana Empresa de la Región Occidente",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Madera Verde,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Empresa de Servicios Multiples Artesanos y Guías de El Pino,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Unión Regional de Pescadores Artesanales del Golfo de Fonseca,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Centro Intercomunitario de Atención a Personas con Discapacidad Solidaridad,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación de Comités Ecológicos del Sur de Honduras,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Women's Resource and Outreach Centre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Family and Parenting Centre,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ProYungas,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Estudios Regionales para el Desarrollo de Tarija,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Grupo Sunu de Acción Intercultural,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOP DE TRABAJO COOP SOL LTDA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Fútbol para el Desarrollo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asocaición de Comunidades Forestales de Petén,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Worldwide Initiatives for Grantmaking Support Inc.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociación Estoreña Para el Desarrollo Integral,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,OGUASU,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Coordinadora Latinoamericana y del Caribe de Pequeños (as) Productores (as) y Trabajadores (as) de Comercio Justo,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CFLeads,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,RED LATINOAMERICANA DE INVERSION SOCIAL Y FILANTROPIA ESTRATEGICA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,FUNDACIÓN ECUATORIANA DE MUJERES RURALES DE LATINOAMERICA Y EL CARIBE,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Young Americas Business Trust,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Social Science Research Council,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Estudios Rurales y Asesoría Campesina,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Fundación Comunitaria Puebla,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,ALIANZA FC MEXICO,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"OLLIN, JOVENES EN MOVIMIENTO, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Amigos de San Cristobal, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"México y Caribe Jóvenes, A.C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Servicios y Asesoria para la Paz,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Finca Triunfo Verde Sociedad Civil,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Laboratorio de Imaginacion y Accion Social A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Magueyal, Sujeto y Comunidad, A. C.",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Comisión de Apoyo a la Unidad y Reconciliación Comunitaria,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CONSERVACION DE LA NATURALEZA EN OAXACA A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,CENTRO DE ATENCIÓN INFANTIL PIÑA PALMERA A.C.,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,GRUPO DE ESTUDIOS SOBRE LA MUJER ROSARIO CASTELLANOS,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Fundación para el Desarrollo Integral, Comunitario y Conservación de los Ecosistemas en Panamá",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"SOCIEDAD Y DISCAPACIDAD:ESTUDIOS,ASESORIA E INTEGRACION DE LA PERSONA CON DISCAPACIDAD - SOCIEDAD y DISCAPACIDAD",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COOPERATIVA AGRARIA NORANDINO LTDA,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Centro de Estudios y Desarrollo Social,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,TALLER DE CAPACITACION E INVESTIGACION FAMILIAR,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Asociacion Las Pregoneras,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,COORD. DEPARTAMENTAL DE MUJERES DE SAN PEDRO DEL YCUAMANDYJU,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Semillas para la Democracia,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,"Aireana, grupo por los derechos de las lesbianas",No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Federacion de Entidades Vecinalistas del paraguay,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,Cooperativa Construyendo Puentes Dignos,No description available,3/4/2025,0.0
INTERNATIONAL ASSISTANCE PROGRAMS,MANOS DEL URUGUAY,No description available,3/4/2025,0.0
USAID,VIET-NAM ASSISTANCE FOR THE HANDICAPPED,No description available,3/10/2025,0.0
USAID,"POPULATION REFERENCE BUREAU, INC.","THE PURPOSE OF MOMENTUM 2C: ADVANCING COLLABORATION AND COMMUNICATION ON EVIDENCE AND LEARNING (ACCEL) FOR MOMENTUM, IS TO FOCUS ON MONITORING AND EVALUATION (M&E), AND KNOWLEDGE MANAGEMENT AND TRANSLATION OF LEARNING ACROSS THE ENTIRE PORTFOLIO OF MOMENTUM AWARDS.",3/10/2025,0.0
USAID,COOPERATIVE HOUSING FOUNDATION,USAID/WEST BANK AND GAZA GAZA HOUSEHOLD WASH ACTIVITY,3/10/2025,0.0
USAID,CENTRE FOR INFECTIOUS DISEASE RESEARCH IN ZAMBIA LIMITED,"THE PURPOSE OF THE USAID EMPOWERED YOUTH PROGRAM III IS TO IMPROVE THE RESILIENCE AND HEALTH OUTCOMES OF VULNERABLE HOUSEHOLDS IN THE FOLLOWING HIV-BURDEN PROVINCES OF ZAMBIA (I.E. LUSAKA, EASTERN AND WESTERN), WHILE STRENGTHENING THE GOVERNMENT OF THE REPUBLIC OF ZAMBIA (GRZ) SOCIAL PROTECTION PLATFORM SO THAT THE GRZ EVENTUALLY PROVIDES THE MAJORITY OF SERVICES TO VULNERABLE CHILDREN AND ADOLESCENTS (VCA).",3/10/2025,0.0
USAID,POPULATION SERVICES INTERNATIONAL,THE PURPOSE OF THE ACTIVITY IS “TO IMPROVE HEALTH OUTCOMES OF VULNERABLE POPULATIONS IN TARGETED PROVINCES THROUGH INNOVATIVE AND SUSTAINABLE INTERVENTIONS”.,3/10/2025,0.0
USAID,WITS HEALTH CONSORTIUM (PTY) LTD,"HIV EPIDEMIC CONTROL IN SOUTH AFRICA PIVOTS ON THE SUCCESS OF PROVIDING APPROPRIATE SERVICES FOR KEY POPULATIONS, INCLUDING SEX WORKERS (SWS), THEIR CLIENTS, AND TRANSGENDER (TG) PEOPLE. WITS REPRODUCTIVE HEALTH AND HIV INSTITUTE (WITS RHI) IS A NATIONAL LEADER IN DEVELOPING A MODEL OF PROVISION OF ACCESSIBLE CLINICAL INTERVENTIONS FOR SWS. OUR EXISTING HIGHLY SUCCESSFUL PEPFAR-SUPPORTED 5-YEAR SEX WORKER PROGRAM IS CURRENTLY IMPLEMENTED IN FIVE PROVINCES OF THE COUNTRY, AND WE PLAN TO EXPAND AN ADAPTED MODEL TO PROVIDE SIMILAR COMPREHENSIVE SERVICES FOR TG POPULATIONS. IN THE FACE OF REMARKABLY HIGH HIV RISK WITHIN BOTH COMMUNITIES, WE HAVE INTERVENTIONS TO ADDRESS RISK-TAKING BEHAVIORS, AND DEMONSTRATED INNOVATIVE SERVICE DELIVERY MODELS FOR HIV CARE, TREATMENT AND PREVENTION THAT ARE LED BY EACH COMMUNITY AND EFFECTIVE IN BOTH CLINIC AND COMMUNITY SETTINGS. SOUTH AFRICA¿S UNIQUELY ENABLING ENVIRONMENT FOR SW AND TG HEALTH INTERVENTIONS SUPPORTS OUR EFFORTS TO BRING THESE SUCCESSES TO SCALE AND INCLUDES: ¿ THE SOUTH AFRICAN NATIONAL SW HIV PLAN 2016-2019 , LED BY THE SOUTH AFRICAN NATIONAL AIDS COUNCIL (SANAC) AND SUPPORTED BY PEPFAR, THAT CLEARLY DELINEATES HEALTH SERVICE EXPECTATIONS WITHIN THE NATIONAL HEALTH SERVICES; AND DIRECT MENTION OF THE IMPORTANCE OF ADDRESSING SW AND TG HIV VULNERABILITY IN BOTH THE CURRENT (2017-2022) AND PRIOR VERSIONS OF THE NATIONAL STRATEGIC PLAN FOR HIV, TB AND STIS (NSP); ¿ SOUTH AFRICA¿S BILL OF RIGHTS (CHAPTER 2, SECTION 9.3) ENSHRINES THE HUMAN RIGHTS OF LGBTI PEOPLE. IN 2014 THE GOVERNMENT OF SOUTH AFRICA (GOSA) LAUNCHED THE NATIONAL INTERVENTION STRATEGY FOR LESBIAN, GAY, BISEXUAL, TRANSGENDER AND INTERSEX (LGBTQI) SECTOR (2014-2017), ADVOCATING FOR AN INTERSECTIONAL APPROACH TO PREVENT DISCRIMINATION AND VIOLENCE AGAINST LGBTI PERSONS. IN 2017 SANAC RELEASED THE NATIONAL LGBTI HIV PLAN (2017-2022). BOTH DOCUMENTS HAVE THE OBJECTIVE OF CLOSING THE GAP BETWEEN POLICY AND PRACTICE IN ORDER TO REALIZE THE RIGHTS OF LGBTI PEOPLE AND UNDERPIN OUR TECHNICAL APPROACH TO TG PROGRAMMING. ¿ SUSTAINED FUNDING FROM EXTERNAL DONORS FOR SW AND TG HEALTH INTERVENTIONS, INCLUDING FROM PEPFAR, THE GLOBAL FUND, THE BILL AND MELINDA GATES FOUNDATION, AND AIDSFONDS; ¿ PRIORITIZING SWS AND TG PEOPLE FOR HIV PREVENTION INTERVENTIONS WITHIN THE DEPARTMENT OF HEALTH (DOH), INCLUDING ONE OF THE WORLD¿S LARGEST PRE-EXPOSURE PROPHYLAXIS (PREP) PROGRAMS, AND FOR REMOVAL OF CD4 THRESHOLDS FOR ANTIRETROVIRAL THERAPY (ART) INITIATION; ¿ FREE ACCESS TO ALL CLINICAL PRIMARY CARE REQUIREMENTS FOR SWS AND TG PEOPLE, INCLUDING HIV TESTING, ART, PREP, MALE AND FEMALE CONDOMS, SEXUALLY TRANSMITTED INFECTION (STI) TREATMENT AND CONTRACEPTION, AND LABORATORY SERVICES; ¿ CONTINUED GROWTH OF AN ACTIVE, SOPHISTICATED CIVIL-SOCIETY SW MOVEMENT THAT HAS INCREASING REACH WITHIN LARGE SW COMMUNITIES, AS WELL AS TG ISSUES FEATURING MORE PROMINENTLY WITHIN MANY ORAGANIZATIONS, AND SEVERAL BESPOKE TG-LED COMMUNITY ORGANIZATIONS EMERGING; ¿ POLITICAL ENGAGEMENT AT THE HIGHEST LEVEL, INCLUDING THE DEPUTY PRESIDENT, THE DEPARTMENT OF SOCIAL DEVELOPMENT (DSD), THE SOUTH AFRICAN POLICE SERVICES (SAPS), AND THE GOVERNMENT. HOWEVER, SIGNIFICANT CHALLENGES STILL HINDER EXPANSION OF INTERVENTIONS THAT WOULD FURTHER SUPPORT EFFECTIVE HIV PREVENTION AND CARE: ¿ CONTINUED, EXTREMELY HIGH LEVELS OF HIV AND STIS AMONG SWS AND TG PEOPLE, ESPECIALLY AMONG THE YOUNG DEMOGRAPHIC, AND WITHIN SURROUNDING COMMUNITIES; ¿ RISK-TAKING BEHAVIORS SUCH AS INCONSISTENT CONDOM USE AND SUBSTANCE ABUSE; ¿ LIMITED IMPLEMENTATION OF THE SW PLAN AND NSP RECOMMENDATIONS AT A GRASSROOTS LEVEL, WITH INADEQUATE COVERAGE, UNDERMINING EPIDEMIC CONTROL; ¿ POOR LINKAGE TO CARE, TREATMENT AND PREVENTION INTERVENTIONS; ¿ CONTINUED STIGMA, DISCRIMINATION, POLICE ABUSE AND GENDER-BASED VIOLENCE (GBV); ¿ A GROWING AND COMPLEX COMMUNITY OF MALE AND TG SWS. ¿ POOR ACCESS TO DEDICATED TG HEALTH SERVICES FOR THE COMMUNITY, IN",3/10/2025,0.0
USAID,WITS HEALTH CONSORTIUM (PTY) LTD,SCHOOL BASED HIV AND GENDER BASED VIOLENCE PREVENTION,3/10/2025,0.0
USAID,SWAA BURUNDI,"URISANZE (“FEEL AT HOME’) ACTIVITY WILL INCREASE ACCESS TO COMPREHENSIVE HIV PREVENTION, CARE, AND TREATMENT SERVICES, AND STRENGTHEN SYSTEMS FOR PLANNING, MONITORING, EVALUATING, AND ASSURE THE QUALITY OF SERVICES ALONG THE PREVENTION-TO-CARE CONTINUUM FOR KEY POPULATIONS.",3/10/2025,0.0
USAID,"FEDECOVERA, R. L.",TO PROVIDE HUMANITARIAN ASSISTANCE TO VULNERABLE COMMUNITIES IN GUATEMALA,3/10/2025,0.0
USAID,ANKAWA HUMANITARIAN COMMITTEE OF ERBIL,STRENGTHENING THE ANKAWA HUMANITARIAN COMMITTEE TO RESPOND,3/10/2025,0.0
USAID,CORPORACION FAVORITA C.A.,"THE PURPOSE OF THIS ACTIVITY IS GENERATING INCLUSIVE ECONOMIC OPPORTUNITIES FOR RURAL COMMUNITIES BY FORMALIZING DIRECT RELATIONSHIPS WITH THEIR SUPPLIERS. BY STREAMLINING THE VALUE CHAIN, WHILE ALSO INCREASING FARMER ACCESS TO KNOWLEDGE AND FINANCIAL SERVICES, FARMERS WILL EARN HIGHER INCOMES AND CONTRIBUTE TO ECONOMIC REVITALIZATION IN THEIR COMMUNITIES.",3/10/2025,0.0
USAID,FUNDACION AMIGOS DE LA NATURALEZA,HUMANITARIAN ASSISTANCE - WILDFIRE RESPONSE IN BOLIVIA.,3/10/2025,0.0
USAID,JOHN SNOW HEALTH ZAMBIA LIMITED,"THE OBJECTIVE OF THIS ACTIVITY IS TO ADDRESS THE NEEDS OF PEOPLE LIVING WITH HIV (PLHIV) AND THOSE MOST AT RISK OF ACQUIRING HIV AND CONTRIBUTE TO HIV MITIGATION AND EPIDEMIC CONTROL, THE PROGRAM SEEKS TO IMPROVE THE HEALTH OUTCOMES OF PRIORITY POPULATIONS IN THE HIGHEST HIV-BURDEN PROVINCES OF ZAMBIA.",3/10/2025,0.0
USAID,CRS - USCCB,"TO APPROVE A NEW IDA EMERGENCY AWARD TO CRS IN MADAGASCAR FOR AGRICULTURAL SUPPORT AND OBLIGATE $2,499,996. (AF20212382)",3/10/2025,0.0
USAID,DANSK FLYGTNINGEHJAELP,H2H NETWORK – RAPID RESPONSE FUND AND ACCELERATOR,3/10/2025,0.0
USAID,CRS - USCCB,"NEW AWARD; YEAR 1 OF A 24 MONTH INCREMENTALLY FUNDED AWARD TO A CRS-LED PARTNER CONSORTIUM ACROSS 10 SECTORS IN BORNO STATE/JERE LGA, NE NIGERIA.",3/10/2025,0.0
USAID,CRS - USCCB,"FOOD SECURITY AWARD TO ASSIST VULNERABLE COMMUNITIES IN INTIBUCA, LA PAZ, CORTES, AND SANTA BARBARA DEPTS.",3/10/2025,0.0
USAID,NORWEGIAN REFUGEE COUNCIL (NRC) - STIFTELSEN FLYKTNINGHJELPEN,"(AF20221596) NRC MOZAMBIQUE: TO PROVIDE ECONOMIC RECOVERY, AGRICULTURE, LIVELIHOODS, AND MULTI-PURPOSE CASH ASSISTANCE, TO COMMUNITIES AFFECTED BY DISPLACEMENT IN CABO DELGADO.",3/10/2025,0.0
